id,name,ingredients,allergensraw,allergensmapped,,link
117, Saumon Atlantique Fumé Norvège Labeyrie," atlantic salmon fish, salt", fish,fish,, https://world.openfoodfacts.org/product/3033610071303/saumon-atlantique-fume-norvege-labeyrie 
118, Taquitos de Salmón Ahumado Hacendado," atlantic salmon fish, salt, sugar", fish,fish,, https://world.openfoodfacts.org/product/8480000226129/taquitos-de-salmon-ahumado-hacendado 
119, Roasted Unsalted Cashews Pete's," cashew nuts, vegetable oil peanut, cottonseed, soybean"," cashew nuts, peanut, soybean","tree nut, peanut, soy",, https://world.openfoodfacts.org/product/0609456365727/roasted-unsalted-cashews-pete-s 
120, No Added Sugar Muesli Alpen," whole grain wheat , whole grain rolled oats , raisins , skimmed milk powder, milk whey powder, roasted sliced hazelnuts and almonds, salt"," wheat, milk, hazelnuts, almonds","wheat, milk, tree nut",, https://world.openfoodfacts.org/product/5010029219326/no-added-sugar-muesli-imp-alpen 
121, Chicken Tikka The Gym Kitchen," cooked chicken breast , cooked brown rice , water, onions, tomato puree, yogurt milk, spices, garlic, ginger, cornflour, salt", milk,milk,, https://world.openfoodfacts.org/product/5060084345539/chicken-tikka-the-gym-kitchen 
122, Risotto au Poulet et aux Cèpes Toque du Chef," cooked rice , water, chicken meat , cream milk, porcini mushrooms , onions, white wine, salt, spices", milk,milk,, https://world.openfoodfacts.org/product/4056489194965/risotto-au-poulet-et-aux-cepes-toque-du-chef 
123, Knacki Saucisses au Poulet Nestle," chicken meat , water, wheat fiber, salt, dextrose, spices, flavorings, antioxidant sodium ascorbate, preservative sodium nitrite", wheat,wheat,, https://world.openfoodfacts.org/product/7613035289291/knacki-saucisses-au-poulet-nestle 
124, Super Duper Chicken Nuggets Kidfresh," chicken breast meat, water, pureed vegetables cauliflower, onions, enriched wheat flour, corn starch, salt, yeast", wheat,wheat,, https://world.openfoodfacts.org/product/0810882010024/super-duper-chicken-nuggets-kidfresh 
125, Pechuga de Pavo Lonchas Finas ElPozo," turkey breast , water, salt, soy protein, milk protein, dextrose, spices, flavorings, stabilizers e, e, antioxidant e, preservative e"," soy, milk","soy, milk",, https://world.openfoodfacts.org/product/8410843145202/pechuga-de-pavo-lonchas-finas-elpozo 
126, Krisprolls Complets Sans Sucres Ajoutes," whole grain wheat flour , wheat flour, yeast, salt, barley malt"," wheat, barley",wheat,, https://world.openfoodfacts.org/product/7311070032611/krisprolls-complets-sans-sucres-ajoutes 
127, Lemon & Pepper Fish Fillets Yew Tree Dairy," basa fish , lemon  pepper glaze sugar, cornflour, salt, black pepper, citric acid, lemon peel, natural flavouring", fish,fish,, https://world.openfoodfacts.org/product/5000205048277/2-lemon-pepper-fish-fillets-yew-tree-dairy 
128, Young's Salt & Pepper Basa Fillets," basa fish , salt  pepper glaze cornflour, sugar, salt, black pepper, green bell pepper, parsley", fish,fish,, https://world.openfoodfacts.org/product/5000205046990/youngs-salt-pepper-basa-fillets-2pk 
129, Salt & Chilli Pepper Nuts & Seeds Boundless," walnuts, pecan nuts, pumpkin seeds, sunflower seeds, maple syrup, salt, chilli, black pepper"," walnuts, pecan nuts",tree nut,, https://world.openfoodfacts.org/product/5060544130279/salt-chilli-pepper-nuts-seeds-boundless 
130, Gochujang Ajumma Republic," starch syrup, wheat flour, water, red pepper powder, salt, rice, garlic, onion, fermented soybean powder"," wheat, soy","wheat, soy",, https://world.openfoodfacts.org/product/8809410721459/gochujang-ajumma-republic 
131, Bell Peppers with Cream Cheese M&S Food," red peppers, cream cheese milk, rapeseed oil, sugar, salt, acetic acid, lactic acid", milk,milk,, https://world.openfoodfacts.org/product/00740265/bell-peppers-with-cream-cheese-m-s-food 
133, Sea Salt & Black Pepper Cashews Sainsbury's," cashew nuts , sea salt, black pepper, cornflour, sugar, yeast extract powder, citric acid", cashew nuts,tree nut,, https://world.openfoodfacts.org/product/00429993/sea-salt-black-pepper-cashews-by-sainsbury-s 
134, Gerblé Salt Free Biscuits with Raisins," wheat flour, raisins , rapeseed oil, cane sugar, wheat starch, natural flavourings", wheat,wheat,, https://world.openfoodfacts.org/product/3251491787810/gerble-salt-free-biscuits-with-raisins-20-pc-360g 
135, Japanese Rainbow Slaw BOL," edamame soy beans, carrots, red cabbage, quinoa, black rice, pickled ginger, sesame seed dressing"," soy, sesame","soy, sesame",, https://world.openfoodfacts.org/product/5060430290322/japanese-rainbow-slaw-salad-jar-bol 
136, Fresh Noodles Japanese Teriyaki BOL," wheat noodles, teriyaki sauce water, soy sauce, sugar, cornflour, ginger, garlic, broccoli, carrots, red peppers, sesame seeds"," wheat, soy, sesame","wheat, soy, sesame",, https://world.openfoodfacts.org/product/5060430292104/fresh-noodles-japanese-teriyaki-bol
137, Milky Way Chocolate Bar," milk chocolate sugar, cocoa butter, skim milk, chocolate, lactose, milkfat, soy lecithin, corn syrup, sugar, palm oil, skim milk, less than  of milkfat, cocoa powder processed with alkali, barley malt extract, lactose, salt, egg whites, chocolate, artificial flavor"," milk, soy, egg, barley","milk, soy, egg",, https://world.openfoodfacts.org/product/5000159413589/milkyway-milky-way
138, Toblerone Milk Chocolate," milk chocolate sugar, milk ingredients, cocoa butter, unsweetened chocolate, soy lecithin, artificial flavor, nougat sugar, honey, almonds, dried eggwhite, citric acid"," milk, soy, almonds, egg","milk, soy, tree nut, egg",, https://world.openfoodfacts.org/product/07027703/toblerone
139, Cooked Shrimp Winco Foods," shrimp, water, salt, sodium tripolyphosphate to retain moisture", shellfish,shellfish,, https://world.openfoodfacts.org/product/0070552308145/cooked-shrimp-winco-foods
140, Breaded Shrimp Tampa Bay Fisheries," shrimp, wheat flour, enriched wheat flour wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid, modified corn starch, yellow corn flour, modified potato starch, salt, sugar, garlic powder, onion powder, maltodextrin, spice, vinegar solids, yeast, egg whites, dextrose, water, soybean oil, spices, dehydrated garlic, dehydrated tomato, leavening sodium acid pyrophosphate, sodium bicarbonate, sodium diacetate, dehydrated onion, extractives of paprika, paprika, xanthan gum, citric acid, natural flavor, sodium tripolyphosphate"," shellfish, wheat, egg, soy","shellfish, wheat, egg, soy",, https://world.openfoodfacts.org/product/0024732275277/shrimp-tampa-bay-fisheries
141, Medium Raw Shrimp Great Value," shrimp, water, salt, sodium tripolyphosphate", shellfish,shellfish,, https://world.openfoodfacts.org/product/0078742133867/medium-raw-shrimp-great-value
142, Prawns in Brine Coles," prawns , water, salt, sugar, stabilisers , , , food acid citric acid, preservative ", shellfish,shellfish,, https://world.openfoodfacts.org/product/9300601185559/coles-prawns-in-brine
143, Raw Shrimp Adelphia Seafood," shrimp, sodium bisulfite, sodium tripolyphosphate to retain moisture", shellfish,shellfish,, https://world.openfoodfacts.org/product/0820324237124/raw-shrimp-adelphia-seafood
144, Creamy Peanut Butter Peanut Delight," dry roasted peanuts, sugar, hydrogenated vegetable oil rapeseed, cottonseed, soybean, salt, molasses"," peanut, soy","peanut, soy",, https://world.openfoodfacts.org/product/1426190103106/creamy-peanut-butter-peanut-delight
145, Creamy Peanut Butter American," peanuts, dextrose, hydrogenated vegetable oil cottonseed, rapeseed, salt", peanut,peanut,, https://world.openfoodfacts.org/product/0073147105006/creamy-peanut-butter-american
146, Chocolate Peanut Butter Clif Builders Protein," soy protein isolate, cane syrup, cane sugar, brown rice syrup, palm kernel oil, vegetable glycerin, soy flour, rice flour, chicory fiber, peanuts, natural flavors, peanut butter, cocoa butter, cocoa, soy protein concentrate, high oleic sunflower oil, sea salt, rice starch, soy lecithin, mixed tocopherols antioxidant"," soy, peanut","soy, peanut",, https://world.openfoodfacts.org/product/0722252168504/chocolate-peanut-butter-clif-builders-protein
147, Overnight Oats Peanut Butter Trader Joe's," water, rolled oats, dates, peanut butter, peanut flour, salt", peanut,peanut,, https://world.openfoodfacts.org/product/00775441/overnight-oats-peanut-butter-trader-joe-s
148, Peanut Butter Filled Dates Freakin' Wholesome," dates, peanuts, cocoa, butter, himalayan pink salt"," peanut, milk","peanut, milk",, https://world.openfoodfacts.org/product/0850040419375/peanut-butter-filled-dates-freakin-wholesome
149, Peanut Butter Great Value," peanuts, sugar, contains  or less of hydrogenated vegetable oil cottonseed oil, soybean oil, rapeseed oil, salt, molasses, monoglycerides"," peanut, soy","peanut, soy",, https://world.openfoodfacts.org/product/0194346116607/creamy-peanut-butter-great-value
150, Peanut Butter Cup Ice Cream Great Value," milk, cream, skim milk, sugar, buttermilk, whey, peanut butter ribbon and flavor base peanuts, peanut oil, salt, mono and diglycerides, peanut butter cups sugar, coconut oil, peanut butter peanuts, salt, peanut flour, nonfat milk, whole milk, cocoa processed with alkali, salt, soy lecithin, natural flavors, chocolate fudge ribbon corn syrup, sugar, water, palm oil, chocolate liquor, cocoa processed with alkali, pectin, mono and diglycerides, polysorbate , corn syrup, contains less than  of mono and diglycerides, carob bean gum, guar gum, cellulose gel, cellulose gum, carrageenan"," milk, peanut, soy","milk, peanut, soy",, https://world.openfoodfacts.org/product/0078742077017/peanut-butter-cup-ice-cream-great-value
151,Tomato Ketchup - Heinz - 1.35 kg,"tomatoes g per g tomato ketchup, spirit vinegar, sugar, salt, spice and herb extracts contains celery, spice",no allergens detected,,,https://world.openfoodfacts.org/product/50457236/tomato-ketchup-heinz 
152,Five Bean Salad - Napolina - 400g,"mixed beans in variable proportions  red kidney beans, pinto beans, cannellini beans, borlotti beans, chick peas, water, salt, ascorbic acid",no allergens detected,,,https://world.openfoodfacts.org/product/5000232849816/five-bean-salad-napolina 
153,Honey & Mustard Dressing - Sainsbury's - 250ml,"water, rapeseed oil, honey , cider vinegar, mustard seeds , sugar, spirit vinegar, cornflour, salt, concentrated lemon juice, stabiliser xanthan gum, turmeric",no allergens detected,,,https://world.openfoodfacts.org/product/01477610/be-good-to-yourself-honey-mustard-dressing-sainsbury-s 
154,Organic Lightly Salted Wholegrain Low Fat Rice Cakes - Kallo - 130g,"organic wholegrain brown rice, sea salt", no allergens detected,,, https://world.openfoodfacts.org/product/5013665100065/organic-lightly-salted-wholegrain-low-fat-rice-cakes-kallo 
155,Apple & Blackcurrant Juice Drink - Robinsons,"water, fruit juices from concentrate apple , blackcurrant , acids citric acid, malic acid, refined barley water , acidity regulator sodium citrate, sweeteners acesulfame k, sucralose, natural colour anthocyanins, natural flavouring, preservatives potassium sorbate, sodium metabisulphite, vitamin c", no allergens detected,,,https://world.openfoodfacts.org/product/5000147030149/robinsons-apple-blackcurrant 
156,Grated Carrots with Chives - Pierre Martinet - 220g,"carrots , rapeseed oil, water, alcohol vinegar, chives , salt, mustard water, mustard seeds, alcohol vinegar, salt, lemon juice from concentrate, modified starch, thickener xanthan gum, pepper", no allergens detected,,,https://world.openfoodfacts.org/product/3281780894950/mes-carottes-rapees-a-la-ciboulette-pierre-martinet 
157,Fruit Splits Raspberry & Pineapple - Bear - 5x20g,"apples, pears, raspberries, pineapple, black carrot extract", no allergens detected,,,https://world.openfoodfacts.org/product/5060139436151/fruit-splits-raspberry-pineapple-bear 
158,Bouillon Kub Chicken - Maggi - 120g,"salt, corn starch, sugar, palm oil, glucose syrup, chicken meat , onion, parsley, turmeric, celery extract, antioxidant rosemary extract",no allergens detected,,,https://world.openfoodfacts.org/product/7613032397623/maggi-bouillon-kub-volaille-reduit-en-sel-de-25-120g-nestle 
159,Oven Roasted Turkey Breast - Fleury Michon - 120g,"turkey breast , water, salt, natural flavourings, concentrates beetroot, chard, carrot, dextrose, antioxidant ascorbic acid",no allergens detected,,,https://world.openfoodfacts.org/product/3095756308019/blanc-de-dinde-dore-au-four-fleury-michon 
160,Roast Chicken Slice - Tesco - 180g,"chicken breast , water, salt, cornflour, dextrose, stabilisers sodium triphosphate", no allergens detected,,,https://world.openfoodfacts.org/product/5059697724442/roast-chicken-slice-tesco 
161,Organic Chicken Stock - Kirkland Signature - 946ml,"organic chicken stock water, organic chicken flavor, organic vegetable stock organic carrot, organic onion, organic celery, sea salt, organic cane sugar, organic chicken fat",no allergens detected,,,https://world.openfoodfacts.org/product/0096619782581/organic-chicken-stock-kirkland-signature 
162,Strawberry Jam - Bonne Maman - 370g,"strawberries, sugar, cane sugar, concentrated lemon juice, gelling agent fruit pectin",no allergens detected,,,https://world.openfoodfacts.org/product/3045320094008/strawberry-jam-bonne-maman 
163,Gazpacho - Alvalle - 1L,"fresh vegetables  tomato, pepper, cucumber, onion, extra virgin olive oil , wine vinegar, salt, garlic, lemon juice",no allergens detected,,,https://world.openfoodfacts.org/product/3168930163480/gazpacho-alvalle 
164,Intense Apricot Jam - Bonne Maman - 335g,"apricots, sugar, concentrated lemon juice, gelling agent fruit pectin",no allergens detected,,,https://world.openfoodfacts.org/product/3608580823452/confiture-abricot-intense-bonne-maman 
165,Organic Vegetable Stock Cubes - Kallo - 88g,"sea salt, organic palm oil, organic maize starch, organic yeast extract, organic vegetables  onion, carrot, celery, pumpkin, organic herbs parsley, lovage, rosemary, organic spices turmeric, mace, garlic",no allergens detected,,,https://world.openfoodfacts.org/product/5013665112273/organic-vegetable-stock-cubes-kall%C3%B8 
166,Organic Swiss Vegetable Vegan Bouillon Powder - Marigold - 150g,"sea salt, potato starch, palm oil, vegetables  parsnip, onion, carrot, leek, celery seed, white pepper, turmeric, mace, parsley, lovage",no allergens detected,,,https://world.openfoodfacts.org/product/5016084235516/organic-swiss-vegetable-vegan-bouillon-powder-marigold
167,Sweet Corn Niblets Green Giant,"corn, water, salt, sugar",no allergens detected,,,https://world.openfoodfacts.org/product/0020000120706/sweet-corn-niblets-green-giant
168,Diced Tomatoes Hunt's,"tomatoes, tomato juice, salt, calcium chloride, citric acid",no allergens detected,,,https://world.openfoodfacts.org/product/0027000381113/diced-tomatoes-hunts
169,Organic Tomato Basil Pasta Sauce 365 Everyday Value,"organic diced tomatoes, organic tomato puree, organic basil, organic extra virgin olive oil, organic onions, salt, organic garlic, organic dehydrated onions, organic dehydrated garlic, organic dried basil, organic oregano",no allergens detected,,,https://world.openfoodfacts.org/product/0099482455712/organic-tomato-basil-pasta-sauce-365-everyday-value
170,Tomato Basil Pasta Sauce Classico,"tomato puree, tomatoes, water, tomato juice, onions, salt, garlic, basil, olive oil, dehydrated garlic, black pepper, citric acid, calcium chloride",no allergens detected,,,https://world.openfoodfacts.org/product/0045700330040/tomato-basil-classico-pasta-sauce
171,Organic Green Beans Cut Del Monte,"organic green beans, water, sea salt",no allergens detected,,,https://world.openfoodfacts.org/product/0024000164913/organic-green-beans-cut-del-monte
172,Basmati Rice Tilda,basmati rice,no allergens detected,,,https://world.openfoodfacts.org/product/5017689338039/basmati-rice-tilda
173,Brown Rice Uncle Ben's,parboiled long grain brown rice,no allergens detected,,,https://world.openfoodfacts.org/product/0054800220731/brown-rice-uncle-bens
174,Organic Jasmine Rice Lundberg,organic jasmine rice,no allergens detected,,,https://world.openfoodfacts.org/product/0073416003019/organic-jasmine-rice-lundberg
175,Long Grain White Rice Great Value,"long grain rice enriched with iron ferric phosphate, niacin, thiamine mononitrate, folic acid", no allergens detected,,,https://world.openfoodfacts.org/product/0078742352534/long-grain-enriched-rice-great-value
176,Organic Chickpeas Eden Foods,"organic chickpeas, water, sea salt",no allergens detected,,,https://world.openfoodfacts.org/product/0024182001099/organic-chickpeas-eden-foods
177,Organic Black Beans 365 Everyday Value,"organic black beans, water, sea salt",no allergens detected,,,https://world.openfoodfacts.org/product/0099482442729/organic-black-beans-365-everyday-value
178,Organic Pinto Beans S&W,"organic pinto beans, water, sea salt",no allergens detected,,,https://world.openfoodfacts.org/product/0039000000528/organic-pinto-beans-sw
179,Red Kidney Beans Bush's Best,"prepared red kidney beans, water, salt, calcium chloride, calcium disodium edta",no allergens detected,,,https://world.openfoodfacts.org/product/0039400019947/red-kidney-beans-bushs-best
180,Organic Diced Tomatoes Muir Glen,"organic tomatoes, organic tomato juice, sea salt, calcium chloride, citric acid",no allergens detected,,,https://world.openfoodfacts.org/product/0042272005314/organic-diced-tomatoes-muir-glen
181,Crushed Tomatoes Hunt's,"tomatoes, salt, citric acid",no allergens detected,,,https://world.openfoodfacts.org/product/0027000381267/crushed-tomatoes-hunts
182,Tomato Sauce Contadina,"tomato puree water, tomato paste, salt, citric acid",no allergens detected,,,https://world.openfoodfacts.org/product/0024000163930/tomato-sauce-contadina
183,Organic Apple Sauce Mott's,"organic apples, water, ascorbic acid vitamin c",no allergens detected,,,https://world.openfoodfacts.org/product/0014800328745/organic-apple-sauce-motts
184,Mandarin Oranges Dole,"mandarin orange segments, water, sugar",no allergens detected,,,https://world.openfoodfacts.org/product/0038900029012/mandarin-oranges-dole
185,Sliced Peaches Del Monte,"peaches, water, sugar, natural flavors, ascorbic acid, citric acid", no allergens detected,,,https://world.openfoodfacts.org/product/0024000167525/sliced-peaches-del-monte
186,Pineapple Chunks Dole,"pineapple, pineapple juice", no allergens detected,,,https://world.openfoodfacts.org/product/0038900002503/pineapple-chunks-dole
187,Organic Tomato Paste Hunt's,organic tomatoes, no allergens detected,,, https://world.openfoodfacts.org/product/0027000420485/organic-tomato-paste-hunts
188,Coconut Milk Thai Kitchen,"coconut milk coconut extract, water, water, guar gum", no allergens detected,,,https://world.openfoodfacts.org/product/0737628002801/coconut-milk-thai-kitchen
189,Organic Coconut Cream Native Forest,"organic coconut, water, organic guar gum", no allergens detected,,, https://world.openfoodfacts.org/product/0043182003667/organic-coconut-cream-native-forest
190,Sliced Carrots Del Monte,"carrots, water, salt, calcium chloride", no allergens detected,,,https://world.openfoodfacts.org/product/0024000116806/sliced-carrots-del-monte
191,Cut Green Beans Del Monte,"green beans, water, salt", no allergens detected,,,https://world.openfoodfacts.org/product/0024000166542/cut-green-beans-del-monte
192,Sweet Peas Del Monte,"peas, water, sugar, salt",no allergens detected,,,https://world.openfoodfacts.org/product/0024000167228/sweet-peas-del-monte
193,White Potatoes Del Monte,"potatoes, water, salt, calcium chloride", no allergens detected,,,https://world.openfoodfacts.org/product/0024000164920/white-potatoes-del-monte
194, Organic Black Beans Goya," organic black beans, water, salt", no allergens detected,,, https://world.openfoodfacts.org/product/0041331029032/organic-black-beans-goya
195, Garbanzo Beans Goya," chickpeas, water, salt, calcium disodium edta, disodium edta", no allergens detected,,, https://world.openfoodfacts.org/product/0041331013178/garbanzo-beans-goya
196, Organic Lentils 365 Everyday Value," organic lentils, water, sea salt", no allergens detected,,, https://world.openfoodfacts.org/product/0099482442804/organic-lentils-365-everyday-value
197, Pure Pumpkin Libby's, pumpkin, no allergens detected,,, https://world.openfoodfacts.org/product/0043000005255/pure-pumpkin-libbys
198, Sweet Potato Puree Farmer's Market Foods, sweet potatoes, no allergens detected,,, https://world.openfoodfacts.org/product/0085239063705/sweet-potato-puree-farmers-market-foods
199, Organic Brown Rice Lundberg, organic long grain brown rice, no allergens detected,,, https://world.openfoodfacts.org/product/0073416000087/organic-brown-rice-lundberg
200, Organic Pure Maple Syrup Coombs Family Farms, organic pure maple syrup, no allergens detected,,, https://world.openfoodfacts.org/product/0071850005402/organic-pure-maple-syrup-coombs-family-farms
